
> my-project@0.1.0 dev
> next dev

▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.30.251:3000
- Environments: .env
✓ Ready in 993ms

○ Compiling /kontak ...
 PATCH /api/records/activity-log/log-1779281528150 200 in 253ms (next.js: 104ms, proxy.ts: 30ms, application-code: 119ms)
 PATCH /api/records/activity-log/log-1779282653681 200 in 339ms (next.js: 57ms, proxy.ts: 140ms, application-code: 142ms)
 PATCH /api/records/activity-log/log-1779287746182 200 in 338ms (next.js: 76ms, proxy.ts: 137ms, application-code: 124ms)
 PATCH /api/records/activity-log/log-1779290413198 200 in 316ms (next.js: 92ms, proxy.ts: 113ms, application-code: 111ms)
 PATCH /api/records/activity-log/log-1779291412590 200 in 264ms (next.js: 95ms, proxy.ts: 58ms, application-code: 111ms)
 PATCH /api/records/activity-log/log-1 200 in 287ms (next.js: 166ms, proxy.ts: 44ms, application-code: 76ms)
 PATCH /api/records/activity-log/log-2 200 in 354ms (next.js: 207ms, proxy.ts: 34ms, application-code: 113ms)
 PATCH /api/records/activity-log/log-3 200 in 175ms (next.js: 39ms, proxy.ts: 100ms, application-code: 36ms)
 PATCH /api/records/activity-log/log-4 200 in 170ms (next.js: 48ms, proxy.ts: 93ms, application-code: 30ms)
 PATCH /api/records/activity-log/log-1779291553814 200 in 171ms (next.js: 53ms, proxy.ts: 92ms, application-code: 26ms)
 PATCH /api/records/activity-log/log-1779291497018 200 in 171ms (next.js: 60ms, proxy.ts: 90ms, application-code: 21ms)
 GET /laporan/dokumentasi 200 in 1279ms (next.js: 1081ms, proxy.ts: 37ms, application-code: 160ms)
 GET /admin 200 in 62ms (next.js: 11ms, proxy.ts: 8ms, application-code: 43ms)
 GET /api/records/system-settings 200 in 196ms (next.js: 110ms, proxy.ts: 65ms, application-code: 21ms)
 GET /api/records/admin-inbox 200 in 259ms (next.js: 89ms, proxy.ts: 77ms, application-code: 93ms)
 GET /api/records/access-permissions 200 in 334ms (next.js: 154ms, proxy.ts: 78ms, application-code: 103ms)
 GET /api/records/notifications 200 in 368ms (next.js: 181ms, proxy.ts: 73ms, application-code: 114ms)
 GET /api/records/maintenance-mode 200 in 509ms (next.js: 105ms, proxy.ts: 71ms, application-code: 333ms)
 GET /api/records/homepage-content 200 in 1059ms (next.js: 205ms, proxy.ts: 78ms, application-code: 776ms)
 GET /api/users 200 in 880ms (next.js: 66ms, proxy.ts: 269ms, application-code: 545ms)
 GET /api/records/activity-log 200 in 867ms (next.js: 86ms, proxy.ts: 267ms, application-code: 515ms)
 GET /api/records/popup-announcements 200 in 1013ms (next.js: 590ms, proxy.ts: 163ms, application-code: 261ms)
